시군명,관광정보명,소재주소,전화번호,데이터기준일자,정제WGS84위도,정제WGS84경도
파주시,월롱산,경기도 파주시 월롱면 용상골길 403,031-940-4612,2021-03-05,37.79822025,126.7662824
의왕시,모락산,경기도 의왕시 오전동,031-345-3522,2021-03-05,,
파주시,학령산,경기도 파주시 앞골길 143-45,031-940-4612,2021-03-05,37.76023425,126.7875014
평택시,부락산,경기도 평택시 경기도대로1376번길 38-29,031-664-9211,2021-03-05,,
파주시,보현산,경기도 파주시 탄현면 헤이리로 381-2,031-940-4612,2021-03-05,37.80913698,126.7148602
안양시,삼성산,경기도 안양시 만안구 석수동,031-8045-2419,2021-03-05,,
파주시,고령산,경기도 파주시 광탄면 보광로 474번길 87,031-940-4612,2021-03-05,37.75371658,126.9204711
파주시,봉서산,경기도 파주시 파주읍 통일로 1586-24,031-940-4612,2021-03-05,37.84909005,126.7898867
동두천시,칠봉산,경기도 동두천시 송내동,031-860-2471,2021-03-05,,
파주시,박달산,경기도 파주시 광탄면 장지산로 200번길,031-940-4612,2021-03-05,,
연천군,고대산,경기도 연천군 신서면 평화로 3282-108,031-839-2061,2021-03-05,38.23663248,127.1570286
파주시,심학산,경기도 파주시 교하로 493-2,031-940-4612,2021-03-05,37.70406165,126.7242285
하남시,검단산,경기도 하남시 신장동,031-790-6341,2021-03-05,,
파주시,초리골 등산로,경기도 파주시 법원읍 초리골길 236,031-940-4631,2021-03-05,37.85532376,126.8941454
수원시,칠보산,경기도 수원시 권선구 금호동 온정로91번길 445-30,,2021-03-05,,
양주시,불곡산,경기도 양주시 유양동,031-820-2646,2021-03-05,,
시흥시,군자봉,경기도 시흥시 군자동,031-310-2342,2021-03-05,,
양주시,천보산,경기도 양주시 광사동,,2021-03-05,,
군포시,수리산,경기도 군포시 속달동,031-387-7111,2021-03-05,,
광주시,앵자봉,경기도 광주시 퇴촌면 우산리,031-760-2468,2021-03-05,,
파주시,교하동고인돌산림욕장,경기도 파주시 당하2길 176,031-940-4612,2021-03-05,,
수원시,광교산,경기도 수원시 장안구 상·하광교동,031-324-8373,2021-03-05,,
파주시,명학산,경기도 파주시 파주읍 용지안길 137,031-940-4612,2021-03-05,37.83695476,126.8355635
화성시,매향리,경기도 화성시 우정읍 매향리,,2021-03-05,,
가평군,통방산,경기도 가평군 설악면 천안리 545,031-580-2482,2021-03-05,37.64094834,127.4745193
화성시,전곡항,경기도 화성시 서신면 전곡항로 5,031-1577-4200,2021-03-05,37.18561539,126.6510723
시흥시,월곶포구,경기도 시흥시 월곶동 820-4,031-318-4409,2021-03-05,,
김포시,대명포구,경기도 김포시 대곶면 대명리,031-987-2983,2021-03-05,,
안성시,안성낙원역사공원,경기도 안성시 장기로91번길 22,031-678-2744,2021-03-05,,
부천시,상동호수공원,경기도 부천시 원미구 조마루로 15,032-320-3000,2021-03-05,37.50244421,126.7452471
시흥시,연꽃테마파크,경기도 시흥시 관곡지로 139,031-310-6222,2021-03-05,37.40068901,126.8083869
성남시,황새울공원,경기도 성남시 분당구 서현동 분당구청 뒷 편,031-729-4384,2021-03-05,,
양평군,봉미산,경기도 양평군 단월면 산음리,031-770-3191,2021-03-05,,
양평군,대부산,경기도 양평군 옥천면 신복리,031-770-3131,2021-03-05,,
이천시,천덕봉,경기도 이천시 백사면 원적로617번길,031-645-3839,2021-03-05,,
이천시,임오산,경기도 이천시 율면 임오산로 296,,2021-03-05,37.08882356,127.5667699
남양주시,용암산,경기도 남양주시 별내면 용암리,031-828-4572,2021-03-05,,
남양주시,천마산,경기도 남양주시 화도읍,031-590-2733,2021-03-05,,
이천시,효양산,경기도 이천시 부발읍 마암리 산25,,2021-03-05,37.27382701,127.4813978
양평군,도일봉,경기도 양평군 용문면 중원리,031-770-3311,2021-03-05,,
이천시,원적산,경기도 이천시 백사면 경사리 427-1,,2021-03-05,37.33731662,127.4527884
안성시,마이산,경기도 안성시 일죽면,031-678-2563,2021-03-05,,
안성시,칠현산,"경기도 안성시 죽산면, 금광면",031-677-1330,2021-03-05,,
안성시,비봉산,경기도 안성시 보개면,031-678-2563,2021-03-05,,
양평군,함왕봉,경기도 양평군 옥천면 용천리 산 27,031-773-5101,2021-03-05,37.54824082,127.5247213
양평군,고래산,경기도 양평군 지평면 대평리,031-770-3281,2021-03-05,,
양평군,어비산,경기도 양평군 옥천면,031-770-3131,2021-03-05,,
이천시,해룡산,경기도 이천시 고담동 산44-2,,2021-03-05,37.23394327,127.468964
이천시,설봉산,경기도 이천시 관고동 산67-3,031-645-3839,2021-03-05,37.27647049,127.4184314
이천시,도드람산(저명산),경기도 이천시 마장면 목리,031-644-2636,2021-03-05,,
이천시,노성산,경기도 이천시 설성면 수산리 산 65-1,,2021-03-05,37.12651251,127.5001277
가평군,축령산,경기도 가평군 상면,031-592-0681,2021-03-05,,
남양주시,문안산,경기도 남양주시 화도읍 금남리,031-592-4900,2021-03-05,,
남양주시,서리산,경기도 남양주시 수동면,,2021-03-05,,
화성시,쌍봉산,경기도 화성시 우정읍 조암리,,2021-03-05,,
광주시,태화산,경기도 광주시 도척면 추곡리 169-2,031-760-4873,2021-03-05,37.27885372,127.2929473
과천시,관악산,경기도 과천시 중앙동,02-3677-2343,2021-03-05,,
오산시,독산성산림욕장,경기도 오산시 지곶동,031-8036-8036,2021-03-05,,
안양시,삼성산산림욕장,경기도 안양시 만안구 예술공원로131번길 49,031-8045-3511,2021-03-05,37.41954448,126.9223668
화성시,초록산산림욕장,경기도 화성시 양감면 사창리 810-1,031-369-2344,2021-03-05,37.09226023,126.9547634
가평군,귀목봉,경기도 가평군 북면 적목리,031-580-2114,2021-03-05,,
군포시,덕고개당숲,경기도 군포시 속달동,,2021-03-05,,
고양시,북한산,경기도 고양시 덕양구 대서문안길,02-909-0497,2021-03-05,,
광명시,도덕산,경기도 광명시 광명동 산75번지 일대,02-2680-2339,2021-03-05,37.46812521,126.8576482
의정부시,사패산,경기도 의정부시 망월로28번길 164-100,031-828-2343,2021-03-05,37.70887207,127.0333747
부천시,부천중앙공원,경기도 부천시 원미구 소향로 162,032-625-3496,2021-03-05,37.50060486,126.7637176
포천시,비둘기낭폭포,경기도 포천시 영북면 대회산리 415-2,031-538-2312,2021-03-05,38.07970239,127.2168469
가평군,가평용추계곡,경기도 가평군 가평읍 용추로 508-7,031-582-9068,2021-03-05,37.85995221,127.4707267
가평군,무주채폭포,경기도 가평군 북면 적목리 산1-1,031-582-8830,2021-03-05,37.97657851,127.4178287
가평군,용소폭포,경기도 가평군 북면 적목리 산4,031-582-8830,2021-03-05,37.98765251,127.4545621
가평군,가평용추폭포,경기도 가평군 가평읍 승안리,031-582-0088,2021-03-05,,
가평군,어비계곡,경기도 가평군 설악면 가일리,031-580-2114,2021-03-05,,
가평군,익근리계곡,경기도 가평군 북면 도대리 708,,2021-03-05,37.9116651,127.4933568
가평군,수락폭포,경기도 가평군 가평읍 경반리,,2021-03-05,,
가평군,운악계곡,경기도 가평군 하면 운악청계로589번길,,2021-03-05,,
가평군,가평용추폭포,경기도 가평군 가평읍 승안리,031-582-0088,2021-03-05,,
가평군,장재울계곡,경기도 가평군 하면 상판리,,2021-03-05,,
동두천시,쇠목계곡,경기도 동두천시 광암동,031-860-2250,2021-03-05,,
포천시,지장산계곡,경기도 포천시 관인면 중리 산251-1,031-538-4652,2021-03-05,,
양평군,세월계곡,경기도 양평군 강상면 세월리,,2021-03-05,,
동두천시,왕방계곡,경기도 동두천시 탑동,031-860-2250,2021-03-05,,
과천시,청계산계곡,경기도 과천시 막계동,,2021-03-05,,
포천시,한탄강대교천현무암협곡,경기도 포천시 관인면 냉정리 1101,031-538-3129,2021-03-05,38.18080022,127.2738429
파주시,설마계곡,경기도 파주시 적성면 설마천로 144,031-940-4612,2021-03-05,37.9310737,126.9464256
가평군,귀목계곡,경기도 가평군 북면 제령리,,2021-03-05,,
가평군,복호동폭포,경기도 가평군 북면 적목리 640,,2021-03-05,37.98760244,127.4600198
포천시,선유담계곡,경기도 포천시 이동면 포화로 123,031-538-3363,2021-03-05,38.07060845,127.3992169
양평군,벽계구곡,경기도 양평군 서종면 노문리,031-770-3161,2021-03-05,,
가평군,무우폭포,경기도 가평군 하면 하판리,,2021-03-05,,
남양주시,비금계곡,경기도 남양주시 수동면 내방리,031-592-0088,2021-03-05,,
양평군,명달리계곡,경기도 양평군 서종면 명달리,031-770-3164,2021-03-05,,
연천군,동막계곡,경기도 연천군 연천읍 동막리 162-1,031-834-2061,2021-03-05,38.10622105,127.1160542
양주시,송추계곡,경기도 양주시 장흥면 울대리,,2021-03-05,,
동두천시,탑동계곡,경기도 동두천시 탑동동,031-860-2250,2021-03-05,,
포천시,직두리부부송,경기도 포천시 청군로2985번길 180,031-538-2106,2021-03-05,37.85522582,127.2443325
이천시,설봉산삼형제바위,경기도 이천시 관고동 산66-1,031-645-3839,2021-03-05,37.28069094,127.4148012
파주시,임꺽정굴,경기도 파주시 적성면 설마천로 감악산 임꺽정굴,031-940-4612,2021-03-05,,
수원시,인계예술공원,경기도 수원시 팔달구 동수원로 335,031-228-4190,2021-03-05,37.25911352,127.0363553
시흥시,시흥갯골생태공원,경기도 시흥시 동서로 287,031-488-6900,2021-03-05,37.38979193,126.7812507
수원시,만석공원,경기도 수원시 장안구 송죽동 434,031-228-4509,2021-03-05,,
수원시,효원공원,경기도 수원시 팔달구 동수원로 399,031-228-4192,2021-03-05,37.26491253,127.0394438
수원시,월화원,경기도 수원시 팔달구 동수원로 399,031-228-4184,2021-03-05,37.26491253,127.0394438
안산시,탄도 바닷길,경기도 안산시 단원구 대부황금로 7,032-885-3745,2021-03-05,37.19251153,126.6461277
양평군,지평레포츠공원,경기도 양평군 지평면 지평리 582-2,031-770-3281,2021-03-05,37.47444991,127.6388498
양평군,옥천레포츠공원,경기도 양평군 옥천면 옥천체육공원길 40,,2021-03-05,37.52187481,127.4582184
양평군,청운레포츠공원,경기도 양평군 청운면 체육공원길 52,,2021-03-05,37.55273232,127.7031294
시흥시,옥구공원,경기도 시흥시 오이도로 58,031-310-3963,2021-03-05,37.35180705,126.7009731
양평군,용문산관광단지,경기도 양평군 용문면 신점리 526-2,031-773-0088,2021-03-05,37.54502301,127.5829395
과천시,문원체육공원,경기도 과천시 문원로 56,02-3677-2362,2021-03-05,37.42792691,127.0036578
과천시,관문체육공원,경기도 과천시 중앙로 294,02-500-1411,2021-03-05,37.44142546,126.9963338
과천시,중앙공원,경기도 과천시 별양동 2-6,02-3677-2362,2021-03-05,37.43234075,126.9965868
김포시,김포국제조각공원,경기도 김포시 월곶면 용강로13번길 38,031-980-2980,2021-03-05,37.72080335,126.5522088
안산시,시화나래조력공원,경기도 안산시 단원구 대부황금로 1927,032-890-6520,2021-03-05,37.31046791,126.6061341
파주시,출판단지 생태공원,경기도 파주시 회동길 145,031-940-4631,2021-03-05,37.70849604,126.686767
구리시,인창중앙공원,경기도 구리시 인창동 309-43번지,031-550-2418,2021-03-05,37.60580988,127.1363673
오산시,오산생태하천,경기도 오산시 신장동,,2021-03-05,,
화성시,비봉습지공원,경기도 화성시 비봉면 유포리 619,031-369-6231,2021-03-05,37.25809561,126.8478846
고양시,고양생태공원,경기도 고양시 일산서구 대화로 315,031-924-7341,2021-03-05,37.68395646,126.7441488
성남시,책테마파크,경기도 성남시 분당구 문정로 145,031-708-3588,2021-03-05,37.38267187,127.1506768
성남시,황송공원,경기도 성남시 중원구 금광1동 산9,031-729-4788,2021-03-05,,
고양시,일산호수공원,경기도 고양시 일산동구 호수로 595,031-906-4557,2021-03-05,37.6537547,126.7686925
성남시,희망대공원,경기도 성남시 수정구 수정로306번길 45-1,031-729-4786,2021-03-05,,
의왕시,의왕자연학습공원,경기도 의왕시 왕송못동로 307,031-345-3533,2021-03-05,37.30710897,126.9531542
파주시,임진강 폭포어장,경기도 파주시 파평면 청송로 550,031-959-2222,2021-03-05,37.93777543,126.8703676
양주시,국립아세안자연휴양림,경기도 양주시 백석읍 기산로 472,031-871-2796,2021-03-05,37.77383049,126.9421724
양주시,나리농원,경기도 양주시 광사로 131-66,031-8082-7225,2021-03-05,37.78580151,127.081828
평택시,진위천시민유원지불빛정원,경기도 평택시 진위면 진위서로 264-15,031-665-6231,2021-03-05,37.09814524,127.0864815
파주시,퍼스트가든,경기도 파주시 탑삭골길 260,031-957-6861,2021-03-05,37.73228267,126.7931713
파주시,마장호수출렁다리,경기도 파주시 광탄면 기산로 365,031-943-3928,2021-03-05,37.7746781,126.9328095
포천시,한탄강주상절리둘레길,경기도 포천시 영북면 소회산길 366,031-538-2312,2021-03-05,38.0952345,127.2338389
구리시,구리 돌다리길 곱창골목,경기도 구리시 안골로103번길 41,031-550-2233,2021-03-05,37.59918782,127.1414539
남양주시,남양주다산길,경기도 남양주시 고산로 184-1,031-590-2416,2021-03-05,37.59393254,127.1855663
포천시,산정호수둘레길,경기도 포천시 영북면 산정호수로411번길 5,031-532-6135,2021-03-05,38.0656132,127.3156844
수원시,수원공방거리,경기도 수원시 팔달구 행궁로,031-228-3643,2021-03-05,,
평택시,평택소사벌카페거리,경기도 평택시 평남로 일대,031-8024-3232,2021-03-05,,
안산시,바다향기수목원,경기도 안산시 단원구 대부황금로 399,031-8008-6795,2021-03-05,37.22501815,126.6465053
경기도,아라걷기길,경기도 김포시 고촌읍 전호리,031-980-2489,2021-03-05,,
시흥시,시흥늠내길 바다가아름다운길,경기도 시흥시 장현동,031-310-2907,2021-03-05,,
여주시,여강길,경기도 여주시 단현동 119-1,031-884-9089,2021-03-05,,
연천군,연천평화누리길,경기도 연천군 장남면,031-839-2061,2021-03-05,,
의정부시,의정부소풍길,경기도 의정부시 민락동 산100-14,031-828-4354,2021-03-05,37.73715253,127.0996755
평택시,평택호관광지 수변데크 사색의 길,경기도 평택시 현덕면 평택호길 159,031-8024-8687,2021-03-05,36.92144571,126.9222276
화성시,동탄호수공원,경기도 화성시 동탄순환대로 67,,2021-03-05,,
화성시,화성실크로드,경기도 화성시 송산면,031-369-6021,2021-03-05,,
파주시,파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,031-957-2004,2021-03-05,37.80069886,126.8740547
파주시,파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,031-957-2004,2021-03-05,37.80069886,126.8740547
파주시,파주 벽초지수목원,경기도 파주시 광탄면 부흥로 242,031-957-2004,2021-03-05,37.80069886,126.8740547
가평군,가평 아침고요수목원,경기도 가평군 상면 수목원로 432,031-1544-6703,2021-03-05,37.7439538,127.3525341
가평군,가평 아침고요수목원,경기도 가평군 상면 수목원로 432,031-1544-6703,2021-03-05,37.7439538,127.3525341
광주시,광주 화담숲,경기도 광주시 도척면 도척윗로 278-1,031-8026-6666,2021-03-05,37.34077038,127.2894273
광주시,광주 화담숲,경기도 광주시 도척면 도척윗로 278-1,031-8026-6666,2021-03-05,37.34077038,127.2894273
양평군,양평 더그림,경기도 양평군 옥천면 사나사길 175,070-4257-2210,2021-03-05,37.52914715,127.4970687
양평군,양평 더그림,경기도 양평군 옥천면 사나사길 175,070-4257-2210,2021-03-05,37.52914715,127.4970687
양평군,양평 더그림,경기도 양평군 옥천면 사나사길 175,070-4257-2210,2021-03-05,37.52914715,127.4970687
양평군,양평 더그림,경기도 양평군 옥천면 사나사길 175,070-4257-2210,2021-03-05,37.52914715,127.4970687
안양시,안양예술공원,경기도 안양시 만안구 석수동 240-18,031-8045-2473,2021-03-05,37.41906306,126.9197713
안양시,안양예술공원,경기도 안양시 만안구 석수동 240-18,031-8045-2473,2021-03-05,37.41906306,126.9197713
안양시,안양예술공원,경기도 안양시 만안구 석수동 240-18,031-8045-2473,2021-03-05,37.41906306,126.9197713
포천시,포천 허브아일랜드,경기도 포천시 신북면 청신로947번길 35,,2021-03-05,37.96592242,127.1317088
포천시,포천 허브아일랜드,경기도 포천시 신북면 청신로947번길 35,,2021-03-05,37.96592242,127.1317088
용인시,기흥호수공원 (용인8경 중 제3경),경기도 용인시 기흥구 동탄기흥로 923,,2021-03-05,37.24081425,127.1004054
용인시,용인자연휴양림 (용인8경 중 제5경),경기도 용인시 처인구 모현읍 초부로 220,,2021-03-05,37.31577253,127.2688892
용인시,가실벚꽃 (용인8경 중 제7경),경기도 용인시 처인구 포곡읍 가실리,,2021-03-05,,
광명시,광명동굴,경기도 광명시 가학로 85번길 142,070-4277-8902,2021-03-05,37.4246681,126.8634442
군포시,반월호수,경기도 군포시 청백리길 6,031-392-3000,2021-03-05,37.36236952,126.9352273
가평군,청평호,경기도 가평군 설악면 회곡리 454-3,031-582-0088,2021-03-05,37.70713679,127.4543907
안성시,용설호수,경기도 안성시 죽산면 용설호수길 234,031-673-9771,2021-03-05,37.05048143,127.4423734
안성시,고삼호수,경기도 안성시 고삼면 월향리 102,031-673-9771,2021-03-05,,
안성시,금광호수,경기도 안성시 금광면 금광리,031-673-9771,2021-03-05,,
시흥시,뒷방울저수지,경기도 시흥시 정왕동 35,031-498-0737,2021-03-05,37.3718045,126.7447471
시흥시,칠리제저수지,경기도 시흥시 금이동 산120-1,031-314-8366,2021-03-05,37.40318746,126.8485463
시흥시,마전달월저수지,경기도 시흥시 월곶동 산63-7,031-310-2334,2021-03-05,37.37230323,126.7705866
용인시,용담저수지(사암지),경기도 용인시 처인구 원삼면 원양로 382-2,031-322-7860,2021-03-05,37.19178878,127.3064047
포천시,청계호수,경기도 포천시 일동면 운악청계로1480번길 45,031-832-2181,2021-03-05,37.94035268,127.3407506
여주시,이포보,경기도 여주시 금사면 이포리 5,,2021-03-05,37.40134582,127.5363953
여주시,강천보,경기도 여주시 신단1길 83,031-887-3573,2021-03-05,37.28005806,127.6797761
이천시,설봉호,경기도 이천시 관고동 418-2,,2021-03-05,37.27533049,127.4273775
파주시,발랑저수지,경기도 파주시 광탄면 부흥로 596,031-950-3260,2021-03-05,37.80606609,126.9080435
파주시,마장호수,경기도 파주시 광탄면 기산로 365,031-940-5761,2021-03-05,37.7746781,126.9328095
파주시,파평용연,경기도 파주시 파평면 청송로 300,031-940-4354,2021-03-05,,
포천시,한탄강,경기도 포천시 영북면 자일리 산 115-2,031-538-4652,2021-03-05,38.11739313,127.2669831
의왕시,왕송호수,경기도 의왕시 초평동,031-345-3534,2021-03-05,,
의왕시,백운호수,경기도 의왕시 학의동 340-1번지,***-****-****,2021-03-05,37.38263703,127.0008383
연천군,백학저수지,경기도 연천군 백학면 저수지길 21,031-835-5470,2021-03-05,38.03223021,126.9250521
파주시,공릉저수지,경기도 파주시 조리읍 장곡리 353,,2021-03-05,37.7559845,126.8355382
수원시,서호(축만제),경기도 수원시 팔달구 화서동 436-1,,2021-03-05,37.27807292,126.9887312
양평군,중미산,경기도 양평군 옥천면 중미산로 1152,031-770-2341,2021-03-05,37.58323039,127.4585126
시흥시,소래산산림욕장,경기도 시흥시 대야동 332-80,031-317-2000,2021-03-05,37.44962927,126.7828588
안산시,풍도,경기도 안산시 단원구 풍도길 8,031-481-2000,2021-03-05,37.11285876,126.3926108
화성시,국화도,경기도 화성시 우정읍 입파길 54,031-1577-4200,2021-03-05,37.10461314,126.538514
시흥시,오이도,경기도 시흥시 정왕동 1985-2042,031-498-5671,2021-03-05,,
포천시,평강랜드,경기도 포천시 영북면 우물목길 171-18,031-532-1779,2021-03-05,38.04997874,127.3061838
용인시,한택식물원,경기도 용인시 처인구 백암면 한택로 2,031-333-3558,2021-03-05,37.09457472,127.4066007
연천군,허브빌리지,경기도 연천군 왕징면 북삼리 222,031-833-5100,2021-03-05,38.08791515,127.00523
김포시,현대유람선(아라뱃길),경기도 김포시 고촌읍 아라육로270번길 74,032-882-5555,2021-03-05,37.59749842,126.7871304
용인시,광교산사계 ( 용인8경 중 제2경 ),경기도 용인시 수지구 신봉동,,2021-03-05,,
남양주시,물의정원,경기도 남양주시 조안면 북한강로 398,031-590-2783,2021-03-05,37.55750946,127.3132182
양주시,장흥관광지,경기도 양주시 장흥면 권율로 193,031-828-9727,2021-03-05,37.73281782,126.9492554
가평군,화악산,경기도 가평군 북면 화악리,,2021-03-05,,
가평군,수덕산,경기도 가평군 북면 가화로 1434,031-580-2481,2021-03-05,37.89884683,127.5106918
김포시,전류리포구,경기도 김포시 하성면 금포로 1928,031-981-4115,2021-03-05,37.69773726,126.6627122
양주시,가나아트파크,경기도 양주시 장흥면 권율로 117,031-877-0500,2021-03-05,37.72563761,126.9499668
광명시,안터생태공원,경기도 광명시 안재로 1번길 27,02-2619-1050,2021-03-05,37.45933257,126.8698217
성남시,분당중앙공원,경기도 성남시 분당구 성남대로 550,031-729-4907,2021-03-05,37.38030055,127.1211729
안성시,고성산,경기도 안성시 원곡면 칠곡리,031-677-1330,2021-03-05,,
이천시,양각산,경기도 이천시 신둔면 고척리 505-12,,2021-03-05,37.28757413,127.3712423
안성시,서운산,경기도 안성시 서운면 청룡리,031-678-2563,2021-03-05,,
남양주시,수락산,경기도 남양주시 별내면 청학리 551-2,031-828-2342,2021-03-05,37.70024654,127.1029045
양평군,추읍산,경기도 양평군 용문면 삼성리,031-770-3341,2021-03-05,,
양평군,삼각산,경기도 양평군 양동면,031-773-0088,2021-03-05,,
양평군,소리산,경기도 양평군 단월면 석산리1,031-770-3191,2021-03-05,37.6392176,127.6330451
이천시,정개산,경기도 이천시 신둔면 지석리 산35-5,,2021-03-05,37.33082441,127.4145444
이천시,마국산,경기도 이천시 모가면 산내리 산65,,2021-03-05,37.1518742,127.45816
포천시,수원산,경기도 포천시 군내면 청군로2985번길 18,031-538-3341,2021-03-05,37.86594734,127.2383835
포천시,주금산,경기도 포천시 내촌면 능곡청정길 50,031-538-2340,2021-03-05,37.78367267,127.2412517
화성시,건달산,경기도 화성시 팔탄면 기천리 산77-1,,2021-03-05,37.18471499,126.9190955
화성시,서봉산,경기도 화성시 향남읍 향봉로10번길 4,031-352-6678,2021-03-05,37.13488129,126.9420791
